,zipcode,state,target_clean,total_schools,has_preschool,has_elementary_school,has_middle_school,has_highschool,best_preschool_rating,best_elementary_school_rating,best_middle_school_rating,best_highschool_rating,preschool_distance,elementary_school_distance,middle_school_distance,highschool_distance,pool,sqft_clean,beds_clean,baths_int,has_half_bath,stories_int,is_split_level,fireplaces,has_firepit,heating_forced_air,heating_gas,heating_electric,heating_heat_pump,heating_oil,heating_baseboard,heating_radiant,heating_hot_water_steam,heating_central,heating_other,no_heating,cooling_central,cooling_heat_pump,cooling_evaporative,cooling_window_wall,cooling_fans,cooling_zoned,cooling_other,cooling_no,parking_garage,parking_carport,parking_driveway,parking_off_street,parking_other,parking_spaces,was_remodeled,city_clean,is_foreclosure,type_lot_land,type_single_family,type_condo,type_traditional,type_townhouse,type_multi_family,type_coop,type_mobile_manufactured,type_apartment,type_penthouse,type_farm_ranch,type_other,lotsize_clean,type_sum,house_age,is_new_construction,is_historical,best_preschool_rating_missing,best_elementary_school_rating_missing,best_middle_school_rating_missing,best_highschool_rating_missing
2052,75023,TX,299000.0,3,1,1,1,1,3.0,6.0,5.0,6.0,0.6,1.1,0.4,1.1,0,1989.0,3.0,2.0,0,1.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,plano,0,0,1,0,0,0,0,0,0,0,0,0,0,9147.0,1,49.0,0,0,0,0,0,0
2053,20009,DC,515000.0,2,1,1,1,1,10.0,10.0,10.0,9.0,0.9,0.9,0.9,2.9,0,731.0,2.0,1.0,0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,washington,0,0,0,1,0,0,0,0,0,0,0,0,0,731.0,1,105.0,0,1,0,0,0,0
2055,95131,CA,265000.0,2,0,1,1,1,0.0,7.0,6.0,7.0,100.0,3.6,0.8,3.6,1,1376.0,3.0,2.0,0,,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,san jose,0,0,0,0,0,0,0,0,1,0,0,0,0,1376.0,1,8.0,1,0,0,0,0,0
2056,33169,FL,115000.0,5,1,1,1,1,10.0,10.0,10.0,4.0,31.1,28.4,30.114899999999906,1.29,0,816.0,2.0,2.0,0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,miami gardens,0,0,0,1,0,0,0,0,0,0,0,0,0,816.0,1,42.0,0,0,0,0,0,0
2057,84109,UT,1069000.0,3,1,1,1,1,6.0,8.0,5.0,8.0,0.34,0.93,0.66,0.93,0,8365.0,6.0,6.0,0,2.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,salt lake city,0,0,1,0,0,0,0,0,0,0,0,0,0,21344.0,1,45.0,0,0,0,0,0,0
2058,33884,FL,125000.0,3,1,1,1,1,7.0,7.0,3.0,3.0,1.4,1.4,4.1,4.8,1,1180.0,2.0,2.0,0,2.0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,winter haven,0,0,0,1,0,0,0,0,0,0,0,0,0,1180.0,1,36.0,0,0,0,0,0,0
2059,33319,FL,66355.0,3,1,1,1,1,8.0,8.0,4.0,3.0,0.4,0.4,1.0,3.5,0,1070.0,2.0,2.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,tamarac,0,0,0,1,0,0,0,0,0,0,0,0,0,1070.0,1,53.0,0,0,0,0,0,0
2060,37615,TN,179900.0,3,0,1,1,1,0.0,7.0,7.0,6.0,100.0,12.06,12.06,4.55,0,1611.0,3.0,2.0,0,1.0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,johnson city,0,0,1,0,0,0,0,0,0,0,0,0,0,27007.0,1,56.0,0,0,0,0,0,0
2061,44130,OH,126900.0,3,0,1,1,1,0.0,5.0,5.0,4.0,100.0,2.7,1.5,2.3,0,1294.0,,,0,,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,parma heights,0,0,0,0,0,0,0,0,0,0,0,0,1,7520.0,1,75.0,0,0,0,0,0,0
2062,77058,TX,199900.0,3,1,1,1,1,7.0,8.0,5.0,8.0,0.6,0.9,0.7,0.9,0,2099.0,3.0,3.0,0,2.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,houston,0,0,1,0,0,0,0,0,0,0,0,0,0,5545.0,1,50.0,0,0,0,0,0,0
